team_id,team_name,student_ids,state
1,Lehigh Valley A,1|91,
2,Ohio B,34,
3,Central Jersey A,434,
4,SFBA/NorCal A1,19|25|90|897|1201|1293,
5,NNVMath B1,402,
6,Phillips Exeter Academy Red A1,3,
7,Connecticut A1,89,
8,TJHSST A1,10|1290,
9,Texas A,13,
10,Florida A1,1289,
11,Central Jersey A1,57,
12,Northern Virginia / Fairfax B1,23,
13,Chicago A1,110,
14,Lehigh Valley A1,132,
15,Georgia A1,48,
16,Colorado A1,462,
17,WWP^2 A1,125,
18,Lexington A1,424,
19,Lexington,1203,
20,NYC A1,102,
21,Utah B1,4,
22,Minnesota B1,352,
23,Texas A1,80|213|1291,
24,Ohio B1,1292,
25,Western PA B1,345|1202,
26,San Diego A1,98|116,
27,Phillips Exeter Red A1,381,
28,Western PA B,123,
29,Bergen County Academies A1,92,
30,WWP^2 B1,277,
31,Ontario Math Circles B1,990,
32,NYC A2,1294,
