team_id,team_name,student_ids,bmt_student_ids,school,state
001,,876|1665|6976,001E|001B|001A,,
003,,6909,003A,,
004,,906|2496|4277|4319|6122,004F|004C|004E|004A|004B,,California
005,,6978,005D,,
009,,6910,009A,,
011,,6911|6979,011D|011B,,
012,Math Enthusiast,6848|6913,012C|012A,Math Enthusiast,California
013,Washington Gold,7|43|205|257|1022|1446,013E|013D|013C|013F|013B|013A,Seattle Infinity Math Circle,Washington
015,,1871|1904|2435|5870,015B|015C|015A|015F,,
016,,2499|6055|6850|6915,016B|016F|016D|016A,,
017,Utah Arches,4|76|232|628|818,017D|017A|017F|017B|017C,Utah ARML,Utah
018,,1059|6851|6853|6854|6917,018C|018A|018B|018F|018E,,
020,,2418|3606|6211|6212,020F|020B|020C|020D,,
021,,1930|3674,021A|021D,,California
022,Cupertino Red,247|365|397|6955,022F|022D|022C|022E,Cupertino HS,California
023,Cupertino Gold,897|2427|2606|6953,023D|023A|023B|023C,Cupertino HS,California
024,,1076|1854|2383|3634|3825|6855,024B|024F|024D|024A|024C|024E,,
025,,2581|6098|6100|6856,025D|025F|025A|025E,,
026,,5925|6099|7010,026E|026F|026C,,
027,Think Team A,341|853|911|2509,027A|027C|027B|027D,Think Academy,California
028,Sierra Canyon School,96|1962|1963|2186|2191|6912,028B|028A|028C|028E|028D|028F,Sierra Canyon School,California
029,,3114|6093,029D|029B,,
030,,6849,030D,,
031,,1972|6984,031E|031F,,
032,!?,880|929|1011|1890|2409|6954,032A|032F|032D|032B|032C|032E,Palo Alto HS,California
033,,1648|1921|6048|6914|6916,033C|033E|033A|033B|033D,,
034,,1889|5853|6049|6153,034C|034F|034B|034E,,
035,,4469|5657|6918,035E|035B|035F,,
036,Davidson Academy,729|1637|2472|5747|6018|6221,036C|036A|036E|036B|036D|036F,Davidson Academy,Nevada
037,,6919,037B,,
039,,5816,039D,,California
040,,4998|6103|6281,040D|040A|040C,,
041,,1785|5719|6852,041C|041B|041D,,
042,,1812|1813|3720|5756|5907|6896,042B|042F|042E|042C|042D|042A,,
043,,1784,043A,,Arizona
044,,274|933|1782|1886|5777,044E|044D|044A|044B|044C,,
045,,3148|3914|6102|6186,045D|045F|045B|045A,,
046,,3061|6218|6988|6998,046E|046B|046F|046C,,
048,,6226|6227|6920|6921,048C|048D|048A|048E,,
049,,6923|6925,049A|049C,,
051,,6926|6977,051D|051C,,
052,,6980|6981|6982,052A|052C|052D,,
053,,1789|1790|1900|5901|6402,053F|053E|053B|053D|053A,,
054,,105|1236|1788|1818|1933|6930,054F|054A|054B|054C|054D|054E,,
055,,379|1832|1833|5595|6022|7011,055F|055D|055B|055C|055E|055A,,
056,,377|554|992|1268|1402|1831,056F|056C|056B|056E|056D|056A,,California
057,CCA Conspiracy,2|28|338|361|422|1238,057D|057F|057C|057A|057B|057E,Canyon Crest Academy Math Team,California
058,CCA Dissimulation,1953|3840|6021|7003|7015,058E|058D|058F|058A|058C,Canyon Crest Academy Math Team,California
059,,211,059A,,California
061,,6190|6983|6999,061C|061A|061D,,
062,,5947,062C,,
063,,7016|1907|1908|2616|6922|6924,063D|063C|063E|063F|063A|063B,,
064,,1909|1945|6927|6956|6957,064C|064E|064A|064B|064F,,
069,,982|6196|6958|7000|7004,069B|069E|069F|069C|069A,,
070,,418|1897|6928,070D|070C|070A,,
071,,3627|5723|5842|5843|6857|6859,071D|071C|071A|071B|071E|071F,,
072,Harker Omicron,19|322|1286|1825|1938|5841,072C|072A|072F|072D|072B|072E,The Harker School,California
073,,1043|1803|1822|1866|6929|6959,073D|073B|073F|073A|073E|073C,,
074,,885|887|7017|6860,074D|074C|074A|074E,,
075,,1079|1862|1863|1864|1959|6043,075D|075A|075C|075E|075F|075B,,
076,,1088|1804|5322|5751|6130|6863,076D|076F|076A|076E|076B|076C,,
077,Harker Sigma,238|327|991|1802|1819|6219,077B|077A|077D|077E|077C|077F,The Harker School,California
078,,1865|5961|6960|6985,078A|078C|078D|078B,,
079,,6986,079A,,
080,,1779|1781,080B|080D,,California
081,,394|6176|6933|6934,081B|081A|081C|081E,,
082,,2425|6175|6225|6866,082E|082D|082A|082B,,
083,,1771|6104|6867,083B|083C|083D,,
084,,1846|2787|5773|6028|6987,084B|084A|084C|084E|084F,,
085,MSJ A,1222|1262|1660|1847|1848|1950,085F|085E|085A|085D|085C|085B,Invent the Future,California
086,,6858|6869,086D|086B,,
087,,5933,087A,,
088,,1058|5988|6861,088C|088A|088B,,
089,,5315|5989|6862,089D|089F|089A,,
090,,2474|5128|6168|6169|6864|6937,090A|090F|090B|090C|090D|090E,,
091,,6931|6938|6962,091D|091C|091B,,
092,,5659,092B,,California
093,,5049|6012|6167|6932|6989,093E|093C|093A|093F|093D,,
094,,3890,094B,,California
096,,1837|3741|4860|6787|6935|6936,096C|096F|096D|096B|096A|096E,,
097,,1839|1840|2410|6865|6897,097C|097F|097D|097A|097E,,
098,Ananas,894|1836|1841|1913|1914|2443,098D|098E|098B|098C|098A|098F,AV Math Team,California
099,Math Nuts,1002|6194|6990,099B|099A|099D,Folsom HS,California
100,Lynbrook Purple,357|665|907|1205|1915|6961,100B|100E|100F|100D|100A|100C,Lynbrook HS,California
101,,1741|3576|6000|6781,101F|101B|101A|101E,,
102,,1911|1974|2968|6159|6161|7014,102C|102E|102F|102D|102B|102A,,
103,,3815|6160|6963,103D|103F|103B,,
104,Lynbrook Red,999|1051|1734|1742|1798|6898,104F|104C|104B|104A|104E|104D,Lynbrook HS,California
105,Lynbrook White,1791|1797|3526|6900|6901|6964,105A|105B|105F|105C|105E|105D,Lynbrook HS,California
106,,931|1792|1851|1925|1937|1955,106E|106A|106C|106B|106D|106F,,California
107,,6939,107A,,
108,,5831|6868,108C|108B,,
109,AlphaStar Archimedes,694|838|1947|3684|6038,109A|109B|109C|109E|109D,AlphaStar Academy,California
110,,1722|6123|6870,110E|110F|110B,,
111,,1968|2355|6872|6904,111D|111C|111A|111F,,
112,AlphaStar Fibonacci,1716|1719|2143|2357|2503|2717,112A|112E|112D|112B|112C|112F,AlphaStar Academy,California
113,,358|385|1359|1361|1770|1795,113B|113E|113C|113F|113D|113A,,California
114,AlphaStar Pascal,372|842|1725|1794|4625|6899,114B|114C|114D|114E|114F|114A,AlphaStar Academy,California
115,AlphaStar Newton,9|25|58|90|99|331,115E|115C|115D|115B|115A|115F,AlphaStar Academy,California
116,Alpha Star Riemann,1342|1718|3082|5645,116A|116E|116B|116D,Alpha Star Academy,California
117,AlphaStar Pythagoras,21|69|906|972|1397|1801,117B|117E|117C|117D|117A|117F,AlphaStar Academy,California
120,,524|826|6873|6902,120F|120C|120A|120D,,
125,,3824|5795|6875|6903,125D|125E|125F|125B,,
126,,1891|5793|6177|6200|6940|6941,126A|126C|126D|126B|126E|126F,,
127,,1748|1749|5825|6905|6906,127A|127D|127C|127B|127E,,
128,Saratoga 1,38|83|319|483|1008|1213,128A|128D|128C|128F|128E|128B,Saratoga HS,California
129,,1738|1740|1861|1926|1949|6174,129D|129F|129E|129A|129C|129B,,
130,,4356|6945,130E|130F,,
132,,6946|6992|6993|7002,132D|132B|132C|132A,,
133,,2501,133C,,California
134,,1967|6877,134B|134D,,
135,,138|1759|1872|4911,135C|135E|135F|135D,,
136,,1263,136E,,California
137,Kawaii Knight,1867|1918|1960|1961,137B|137F|137A|137C,The King’s Academy,California
138,Skylarizzer,7006,138C,The King’s Academy,California
139,,1868|5916|6094|6871,139A|139B|139C|139F,,
141,,3844|6996,141A|141B,,
142,RSM Bay Area 1,1018|1745|1939|2213|2633|6025,142E|142C|142D|142F|142A|142B,RSM Bay Area,California
143,,5955|6040|6144|6965,143D|143E|143F|143C,,
144,,1746|1856|1857|4434|5126|6874,144F|144A|144E|144C|144D|144B,,
145,,3104|5891|6087,145C|145E|145A,,
147,,2362|5923|6248|6876,147A|147F|147E|147D,,
148,,1065|1761|1762|1763|1874|2358,148D|148F|148A|148C|148E|148B,,California
149,,1723|1732|1796|2433|2495,149E|149C|149B|149D|149A,,California
151,,2500|5972|5973|6942|6943,151C|151D|151E|151A|151B,,
152,,1728|1729|6970,152B|152D|152C,,
153,,5850|5975|6944,153E|153A|153D,,
154,,1730|1731|4170,154B|154E|154D,,California
155,,1249|1345|1827|1828|1952|7001,155C|155D|155A|155B|155F|155E,,
157,,6878|6879|6880,157B|157C|157E,,
158,,5826|6881,158C|158A,,
159,,5703,159B,,California
160,,6096|6184|6774|6947,160D|160B|160A|160C,,
162,,7012,162D,,
163,,4002|6119|6884|6972|7005,163A|163E|163D|163B|163C,,
164,,5856|6966|6967|6968|6969,164A|164C|164D|164E|164F,,
165,,1903|7013,165A|165D,,
166,Joanna Wu,1599,166A,Joanna Wu,
167,,3488|3758,167C|167E,,California
168,,1650|1809|6164|6206,168B|168E|168A|168D,,
169,,2690|6886|6949,169D|169B|169A,,
170,,1766|6907,170B|170E,,
171,,1765|5861,171E|171B,,California
174,,6888,174A,,
175,,1895|3283|3768|6890,175A|175C|175E|175B,,
176,,1814|1815|5949|6892,176A|176E|176F|176D,,
178,,5811,178A,,
179,,2051|6991,179B|179A,,
181,,3644|6894|6895,181D|181A|181B,,
182,Minnesota Gold,6|1009|3056|6882,182B|182C|182A|182E,Minnesota All State Math Team,Minnesota
183,,6523|6883|6908,183D|183B|183C,,
185,,78|482|1061|1875|1880|1943,185C|185F|185D|185B|185E|185A,,
187,,6973,187B,,
188,,1876|1877|2432|6134|6950|6974,188D|188F|188A|188E|188C|188B,,
189,,3850|5704|6041|6052|7007,189A|189F|189B|189C|189D,,
190,,1816|1817|1973,190A|190B|190D,,
193,,5957,193F,,
194,Six Lions,2580|2611|2649|2666|6994,194D|194F|194B|194A|194E,Stratford Preparatory Blackford,California
195,,1808|3602|6142|6975,195B|195E|195C|195F,,
198,,1368,198C,,California
200,,6086|6948|6995,200D|200B|200A,,
201,,4477|6887|6889|6891,201E|201A|201B|201D,,
204,,1810|2510|3106|6029|6106,204E|204C|204A|204B|204D,,
205,,5287,205A,,California
206,,1056|1859|1916|2165|2198,206F|206B|206A|206C|206E,,California
207,,1927|2431|5220|5854,207F|207D|207E|207A,,
208,GMC Anaconda,622|884|955|1251|6155,208E|208A|208B|208D|208F,Gunn Math Circle,California
209,,1774|1776|6951,209A|209E|209F,,
210,,1777|1885|1920|5358,210D|210B|210E|210A,,California
212,YEA Spice,113|822|1838|6020|6952,212E|212F|212B|212D|212A,YEA,California
213,,6997,213A,,
