team_id,team_name,student_ids,state
1,Texas Ampere,8|44|229|254,
2,Texas Bernoulli,14|323|901,
3,AlphaStar AIR,19|21|25|69|261,
4,FlyingJJ,236,
5,the lone sigmas,86|220|262|266|899,
6,aelfric_eden1434,2154|2168,
7,addicts,809,
8,Random Math Team Red,3758,
9,The Jolly Brouhaha,77|221|235,
10,Washington Gold,24,
11,Random Math Team Blue,211|6119|6128,
12,The Jigglypuff Invaded,10,
13,Maryland United,212,
14,xor,34|363|387,
15,ABG Math Circle,6268,
16,Florida Alligators,20|45,
17,MoCoSwaggaSquad,1541,
18,Georgia Mathletes,849|1555,
19,PRISMS Falcons,1272|1481,
20,Lexington Delta,50,
21,Minnesota Gophers,6,
22,Phillips Academy A,6270,
23,Fairfax A,925,
24,dinglebinglers,6273,
25,Lexington Alpha,6274,
26,Team Essential Alpha,6269,
27,RSM A,1588,
28,Texas WAMO,373,
29,Texas Curie,1044,
