team_id,team_name,student_ids,state
1,The Jigglypuff Invaded,10|311,
2,Texas Ampere,8|229|254,
3,AlphaStar AIR,21|69,
4,PRISMS Falcons,1481,
5,The Jolly Brouhaha,29|77|221,
6,aelfric_eden1434,2154|2168,
7,the lone sigmas,86|220|262|266,
8,xor,34|216|387,
9,MoCoSwaggaSquad,31|1015,
10,Phillips Academy A,6270|6271,
11,Potomac1,222,
12,PHS Blueberry,6279,
13,Washington Gold,43,
14,PATiger2022,313,
15,Fairfax A,23,
16,Lexington Beta,223|1471,
17,AlphaStar FIRE,1795|6280,
18,addicts,41|809,
19,Texas Curie,248,
20,Random Math Team Blue,38|211|274|4099,
21,Texas Euler,768,
22,MathChicago,1466,
23,Maryland United,320,
24,Texas Bernoulli,323,
25,Georgia Mathletes,849|1555|5639,
26,Minnesota Gophers,3056,
27,RAINBOW UNICORNS,1544,
28,Florida Alligators,20,
29,Bergen 2,225,
