team_id,team_name,student_ids,state
1,Minnesota Gophers,6,
2,Washington Gold,7|24|6277,
3,addicts,805|809|814|993,
4,Lexington Beta,223,
5,Texas Bernoulli,14|323|2908,
6,xor,34|363,
7,Team Essential ACE,6269,
8,UTS Y,895|6260,
9,Oregon Math Circle,6272,
10,Texas Curie,248,
11,Florida Alligators,20|45,
12,Lexington Gamma,810,
13,Random Math Team Red,3758,
14,AlphaStar AIR,19|21|261,
15,dinglebinglers,2614,
16,ABG Math Circle,6268,
17,the lone sigmas,86|220|262|266|899,
18,Texas Ampere,44|229,
19,The Jigglypuff Invaded,10|1200,
20,Lexington Alpha,65|242,
21,Maryland United,320,
22,MoCoSwaggaSquad,31|206,
23,RSM A,1588|6275,
24,Team Essential Alpha,6276,
25,Random Math Team Blue,274,
26,PRISMS Falcons,215,
27,Texas WAMO,383,
28,PHS Avocado,6278,
