team_id,team_name,student_ids,state
1,ABG Math Circle,6268,
2,AlphaStar AIR,19|21|25|31|69|261,California
3,AlphaStar FIRE,1795|6280,California
4,Bergen 2,225,New Jersey
5,Fairfax A,23|925,Virginia
6,Florida Alligators,20|45,Florida
7,Georgia Mathletes,849|1555|5639,Georgia
8,Lexington Alpha,65|242|6274,Massachusetts
9,Lexington Beta,223|1471,Massachusetts
10,Lexington Delta,50,Massachusetts
11,Lexington Gamma,810,Massachusetts
12,Maryland United,212|290,Maryland
13,MathChicago,1466,Illinois
14,Minnesota Gophers,6|3056,Minnesota
15,MoCoSwaggaSquad,31|206|1015|1541,Maryland
16,Oregon Math Circle,6272,Oregon
17,PATiger2022,313,Pennsylvania
18,PHS Avocado,6278,New Jersey
19,PHS Blueberry,6279,New Jersey
20,PRISMS Falcons,215|1272|1481,New Jersey
21,Phillips Academy A,6270|6271,Massachusetts
22,Potomac1,222,Maryland
23,RAINBOW UNICORNS,1544,Pennsylvania
24,RSM A,1588|6275,Massachusetts
25,Random Math Team Blue,38|211|247|4099|6119|6128,California
26,Random Math Team Red,3758,California
27,Team Essential ACE,6269,Korea
28,Team Essential Alpha,6269|6276,Korea
29,Texas Ampere,8|44|229|254,Texas
30,Texas Bernoulli,14|293|901|2908,Texas
31,Texas Curie,248|1044,Texas
32,Texas Euler,768,Tennessee
33,Texas WAMO,373|383,Texas
34,The Jigglypuff Invaded,10|311|1200,Virginia
35,The Jolly Brouhaha,29|74|221|235,Virginia
36,UTS Y,895|6260,"Ontario, Canada"
37,Washington Gold,7|24|43|6277,Washington
38,addicts,41|805|809|814|993,New Jersey
39,aelfric_eden1434,2154|2168,New Jersey
40,dinglebinglers,2614|6273,California
41,the lone sigmas,86|220|239|262|858,Connecticut
42,xor,34|216|355|363|370,Ohio
