student_id,student_name,year,team_name,team_id,rank,total_score,mcp_rank
173,Luke Robitaille,2022,Texas Momentum A,1,1,205.72,1
181,Raymond Feng,2022,Cowconuts,2,2,144.31,2
169,Nilay Mishra,2022,Random Math,3,3,125.62,3
2512,Gary Hu,2022,Math Advance Team C,4,4,122.74,4
1154,Kevin Min,2022,iodgvypribdt,5,5,116.46,5
1166,Albert Wang,2022,MA Boys,6,6,116.37,6
2513,Howard Dai,2022,Glenbrook North,7,7,115.77,7
1179,Mason Fang,2022,Cowconuts,2,8,111.13,8
2514,Jasen Penchev,2022,Bulgaria 1,8,9,109.28,9
172,Sumedh Vangara,2022,Chair,9,10,108.43,10
175,Rishabh Das,2022,Tin Man,10,11,104.87,11
2515,Linden Lee,2022,MN Gold,11,12,104.74,12
1105,Yichen Xiao,2022,PRISMS Falcons,12,13,104.61,13
1985,Sai Konkimalla,2022,Random Math - Team B,13,14,103.82,14
466,Allan Yuan,2022,ur mom,14,15,103.32,15
2516,Shreyas Shrivastava,2022,Motown All-Stars,15,16,103.1,16
300,Isaac Chen,2022,Math Advance Team A,16,17,101.88,17
159,Karthik Vedula,2022,Florida Alligators,17,18,101.54,18
436,Anthony Wang,2022,Saratoga 1,18,19,101.16,19
95,Razzi H. Masroor,2022,Motown All-Stars,15,20,100.75,20.5
117,Advaith Avadhanam,2022,Random Math,3,20,100.75,20.5
