folder_name,contest_name,year,website,contest_date
amo,USAMO,2022,,2022-03-22
amo,USAMO,2023,,2023-03-21
amo,USAMO,2024,https://maa.org/wp-content/uploads/2024/11/2024-USAMO-Awardees-FINAL.pdf,2024-03-19
amo,USAMO,2025,https://maa.org/wp-content/uploads/2026/02/2025-USAMO-Awards-Winner-List.pdf,2025-03-19
amo,USAMO,2026,https://maa.org/wp-content/uploads/2026/04/2026-USAMO-Awardees.pdf,2026-03-18
arml,ARML,2022,https://docs.google.com/spreadsheets/d/1RvdE4RcA99uXvlaRl4J_Y11Qo6A7Hf4-fBPtSJQUjAU/edit?usp=sharing,2022-06-04
arml,ARML,2023,https://arml3.com/,2023-06-03
arml,ARML,2024,https://docs.google.com/document/d/1AE4ZQnF34jSIfIjzbCoTqJVg3rVCJefA44Us9Wt8OPs/edit?pli=1#heading=h.tzi8w4gu2tvz,2024-06-01
arml,ARML,2025,https://docs.google.com/document/d/17KQYnstIYxyz2r1KoyYIbkl-2Ex62jd1x-Cy-z8BcG8/edit?usp=sharing,2025-05-31
bamo-12,BAMO-12,2022,https://www.bamo.org/archives/winners/BAMO2022-award-report.pdf,2022-03-20
bamo-12,BAMO-12,2023,https://www.bamo.org/archives/winners/BAMO2023-award-report.pdf,2023-03-01
bamo-12,BAMO-12,2024,https://www.bamo.org/archives/winners/BAMO2024-award-report240321.pdf,2024-03-21
bamo-12,BAMO-12,2025,https://www.bamo.org/archives/winners/BAMO2025-award-report250411.pdf,2025-03-05
bamo-12,BAMO-12,2026,https://www.bamo.org/archives/winners/BAMO2026-award-report260309a.pdf,2026-02-25
bamo-8,BAMO-8,2022,https://www.bamo.org/archives/winners/BAMO2022-award-report.pdf,2022-03-20
bamo-8,BAMO-8,2023,https://www.bamo.org/archives/winners/BAMO2023-award-report.pdf,2023-03-01
bamo-8,BAMO-8,2024,https://www.bamo.org/archives/winners/BAMO2024-award-report240321.pdf,2024-03-21
bamo-8,BAMO-8,2025,https://www.bamo.org/archives/winners/BAMO2025-award-report250411.pdf,2025-03-05
bamo-8,BAMO-8,2026,https://www.bamo.org/archives/winners/BAMO2026-award-report260309a.pdf,2026-02-25
bmt,Berkeley Math Tournament,2023,https://berkeley.mt/resources/archives/bmt-2023/results.pdf,2023-11-04
bmt,BMT - General,2024,https://berkeley.mt/resources/archives/bmt-2024/results.pdf,2024-11-02
bmt,Berkeley Math Tournament,2025,https://berkeley.mt/resources/archives/bmt-2025/results.pdf,2025-11-08
bmt-algebra,Berkeley Math Tournament,2023,https://berkeley.mt/resources/archives/bmt-2023/results.pdf,2023-11-04
