team_id,team_name,student_ids,state
1,LV Fire,1|41,
2,San Diego A1,2|366,
3,Leading Aces Academy 1,5|3661,
4,Utah Arches,4,
5,No Coast Best Coast,11|370,
6,MN gold,6,
7,Phillips Academy 1778,15|36,
8,PEA Chestnuts,3|27|62,
9,Texas Momentum A,33|44,
10,All Aces Dream,8|13,
11,Bonnie Branch Math Circle Delta,252,
12,Texas Momentum B,16|367,
13,Random Math Team Blue,38,
14,St. Mark's School of Texas Team M,14,
15,Cardigans,31,
16,Florida Alligators,32|40,
17,121NH,39,
18,Thomas Jefferson High School for Science and Technology A,10|29,
19,Washington Gold 1,24,
20,Harker Omega,19|238,
21,AlphaStar Academy AIR,21|25|69,
22,AlphaStar Academy FIRE,17,
23,San Diego A2,368,
24,Austin Math Team A,369,
25,NC School of Science & Math - Team alpha,12,
26,Individuals 1,30,
27,MathChicago,323,
28,Ohio ARML B,34|236,
29,Upstate New York Math Team,42,
30,Connecticut Cyborgs,204,
31,Georgia Mathletes A,371,
32,Motown All-Stars-A,47,
33,Mad Hatter,293,
34,Think Math A,372,
