team_id,team_name,student_ids,state
1,AlphaStar Academy AIR,81|90|118|122,
2,Phillips Academy 1778,97|421,
3,Beijing Loong,53|55|106|109,
4,Tin Man,102,
5,Lexington Alpha,120|147|273|308|424,
6,Lehigh Valley Fire,1,
7,Individuals 7,113|117,
8,Washington Gold 1,107|205|427|638,
9,MG VARNA A,114,
10,Texas Momentum A,80,
11,San Diego A1,98|422,
12,San Diego A2,28|428,
13,Bergen County Academies Team 1,92,
14,Thomas Jefferson High School for Science and Technology A,201,
15,Cougars B,105|405,
16,AlphaStar Academy EARTH,21,
17,Mathsyyds,111,
18,Newton South Sines,423,
19,Connecticut Cyborgs,89|425,
20,Exeter Red,73,
21,WWP A,125|362,
22,Hotchkiss Indigo,126,
23,No Coast Best Coast,110|112,
24,BBMC-Math Delta,23|252,
25,Individuals 6,96,
26,Motown All-Stars,329,
27,Colorado Mathletes,121,
28,Random Math Team Green,19,
29,Ontario Math Circles,426,
30,Florida Beaches,32,
31,nnGu Rearranged,166,
32,Redone,429,
33,Mass ARML Stars,430,
34,Individuals 4,95,
