team_id,team_name,student_ids,state
1,Texas Momentum A,151|173|174|191,
2,AlphaStar Academy AIR,135|183,
3,Florida Alligators,93|115|145|159,
4,Orange County Math Circle BrawlphaStars,180,
5,Lehigh Valley Fire,57|132|139,
6,Motown All Stars,59|95,
7,Pentagon Hexagon Oregon A,149,
8,San Diego A1,98|155|1515,
9,TJ-A,140,
10,Western Mass ARML Stars,178|197,
11,Lexington Alpha,184,
12,MN All-State Math Team 1 - Gold,187|1518,
13,Washington Gold 1,1138,
14,Tin Man,456|1497|1514,
15,EddieSolo,123|198,
16,NC School of Science & Math - Team alpha,1457,
17,AlphaStar Academy FIRE,81|122,
18,San Diego A2,116|1187|1516,
19,OS Betelgeuse,1513,
20,Burgas A,154,
21,Individuals 3,1373,
22,Lehigh Valley Ice,1,
23,Harker Omega,1293,
24,Spice,1162,
25,Pleasanton A,202,
26,No Coast Best Coast,110,
27,Populus-3,1517,
28,Scarecrow,2076,
29,BISV Bobcats A,1165,
30,Raritan Valley Math Team - Euler,434,
