team_id,team_name,student_ids,state
1,Bayview Team A1,1519,California
2,Brunswick School A,86|670|1279,Connecticut
3,Leading Aces Academy 1,1520,California
4,Ward Melville Math Team D,1521|1539,New York
5,Jericho A,738|844,New York
6,Big L Club,809,New Jersey
7,Montgomery County Team 1 November,206|1541|1545,Maryland
8,Clarke A,811,Massachusetts
9,Beijing Mingcheng Academy Red Panda,1523|1532|1538,China
10,PRISMS Falcons,64|209|1481|1530|1531,New Jersey
11,Raritan Valley Math Team - Newton,1524,New Jersey
12,Yu's Alligator,1525,New Jersey
13,Westchester Area Math Circle A,862|1332|1534,New York
14,Individuals 1,1460,Michigan
15,Pingry Bears,1055|1535,New Jersey
16,Areteem Institute,1526,California
17,Mustangs,849,Georgia
18,AB Math League,516,Massachusetts
19,Phillips Academy A1,1528,Massachusetts
20,Rockville Friends,1529,Maryland
21,PHS Apricot,1536|1546,California
22,Fish,850|851|1537,Massachusetts
23,Texas Tornado,248,Texas
24,pauvres de saint félicien,1540,
25,Beijing Forbidden City,1542|1543,China
26,Nittany Lions,280|1544,Pennsylvania
27,BronxHMMT,1547|1548,New York
28,All Aces Spade,271,
29,Individuals 3,798,New Jersey
