Country Name,Country Code,Contestant Code,Contestant,P1,P2,P3,P4,P5,P6,Total,Award,Extra Awards,Rank
C31,C31,35543,Ivan Chasovskikh,7,7,7,7,7,7,42,Gold medal,,1
Canada,CAN,30698,Warren Bei,7,7,7,7,7,7,42,Gold medal,,1
Japan,JPN,33069,Satoshi Kano,7,7,7,7,7,7,42,Gold medal,,1
People's Republic of China,CHN,35092,Leyan Deng,7,7,7,7,7,7,42,Gold medal,,1
People's Republic of China,CHN,35090,Hengye Zhang,7,7,7,7,7,7,42,Gold medal,,1
People's Republic of China,CHN,35089,Hongyi Tan,7,7,7,7,7,5,40,Gold medal,,6
United States of America,USA,34148,Qiao Zhang,7,7,7,7,7,4,39,Gold medal,,7
Vietnam,VNM,35341,Trong Khai Vo,7,7,7,7,7,3,38,Gold medal,,8
India,IND,34561,Kanav Talwar,7,7,7,7,7,2,37,Gold medal,,9
Republic of Korea,KOR,34548,Kyungjun Park,7,7,7,7,7,2,37,Gold medal,,9
United States of America,USA,33503,Alexander Wang,7,7,7,7,7,2,37,Gold medal,,9
Austria,AUT,34619,Valentin Glatz,7,7,7,7,7,1,36,Gold medal,,12
C32,C32,35544,Dmitry Grishko,7,7,7,7,7,1,36,Gold medal,,12
Canada,CAN,33427,Ming Yang,7,7,7,7,7,1,36,Gold medal,,12
Hong Kong,HKG,33552,Yung Ho Kwan,7,7,7,7,7,1,36,Gold medal,,12
Hong Kong,HKG,34320,Lincoln Liu,7,7,7,7,7,1,36,Gold medal,,12
Israel,ISR,35383,Eithan Grinzaid,7,7,7,7,7,1,36,Gold medal,,12
Italy,ITA,35469,Lorenzo Degli Atti,7,3,7,7,7,5,36,Gold medal,,12
Mongolia,MNG,33352,Iveel Arvis,7,7,7,7,7,1,36,Gold medal,,12
People's Republic of China,CHN,33921,Zhewen Deng,7,7,7,7,7,1,36,Gold medal,,12
People's Republic of China,CHN,33925,Qiming Xu,7,7,7,7,7,1,36,Gold medal,,12
Republic of Korea,KOR,34553,Wooju Ham,7,7,7,7,7,1,36,Gold medal,,12
