team_id,team_name,student_ids,state
1,Westchester Area Math Circle A,204|817|1332|1458,
2,Motown All-Stars,246|329|1040,Michigan
3,Placeholder,86|670|1279,Connecticut
4,DMV Math Circle Sigma,206|252|262,
5,the snorlaxes,77|1477,Virginia
6,Not Great Valley,899,Pennsylvania
7,Big L Club,809|1456,New Jersey
8,koobee weadah,1097,Illinois
9,Maryland United,212|218|320|1006,Maryland
10,Unknown,1597,Unknown
11,FrostMath,811|841|7031,
12,PRISMS Falcons,215|1448|1481,New Jersey
13,The Hexacontakaiheptagons,214|266|851,
14,WWP Charizard,259|798|1485,New Jersey
15,Westchester Area Math Circle E,1449,New York
16,Lexington Zeta,265|810|1329,
17,Mass ARML,7029|1480|2487,
18,orzzzzzzzzzzzz,1038|1467,
19,Math-M-Addicts 1,1451,New York
20,RSM - A,1452|1484,Massachusetts
21,Ultraviolet Catastrophe,323|395|694|1447|1466,Illinois
22,VAMC2025,1453|1476,Virginia
23,Novi Unicorns,1454|1460,Michigan
24,Westchester Area Math Circle B,1284|1465,
25,Benjamin's Mom's Team,1455,Massachusetts
26,Lexington Alpha,35|50|324|1471,Massachusetts
27,Dallas Individuals 1,874|913,Texas
28,Benjamin's Dad's Team,1459,
29,Daisy - AAMOC 1,1063,Michigan
30,Hotchkiss Blue,1461,Connecticut
31,PRISMS Future Falcons,1462,New Jersey
32,PRISMS Young Falcons,1463,New Jersey
33,Theta Math Club,1464|1470,New York
34,WWP Charmander,243,New Jersey
35,Cranbrook Aardvarks,47|821|1087|1473,Michigan
36,Stearns Middle School,984,Maine
37,PESH Math Club,248|1487,Texas
38,D1 Moggers,1469,Michigan
39,Dallas Math Circle,1077|1483,Texas
40,OveRZealous TEsserAct Manufacturers,1472|1488,
41,USC Individuals 1,1474,California
42,CRH 1,1475,New Jersey
43,PHS Apricot,7025|1084,
44,Hot Pot Lovers,1350,Illinois
45,RSM - B,1478,Washington
46,REST Assured,1479,
47,Academies Math Team,1482|1486,New Jersey
48,texington,263|793,Massachusetts
49,A Kettle of Hawks,1489,California
