team_id,team_name,student_ids,state
1,Lehigh Valley Fire,1|57|91|132|300,New Jersey
2,Random Math,55|211|274|319,California
3,TJ A,10|29|70|87|279|282|306,Virginia
4,Texas Ramanujan,8|46|67|213|229|254|285,Texas
5,Individuals Team 163,3|82|296|312,
6,Individuals Team 165,73|283|311,New Hampshire
7,Washington Gold,7|24|205|257|303,Washington
8,The Eight,272,Massachusetts
9,Lexington Alpha,35|65|120|242|273|304|308|1203,Massachusetts
10,NCSSM Alpha,12|309,North Carolina
11,Poolesville Team A,34|262|278,
12,Florida Alligators,40|45|281|286|299,Florida
13,Texas Hardy,14|44|49,Texas
14,Athemath Owls,275,Iowa
15,Lehigh Valley Ice,41|214|276|314,New Jersey
16,AlphaStar Rhombidodecahedrons,25|292|322,California
17,Knights A,277,New Jersey
18,Andover Lightning,97|287|301,Massachusetts
19,PRISMS Falcons,85|288|291,New Jersey
20,Westchester Area Math Circle,204|302|317,Connecticut
21,Individuals Team 167,280,Pennsylvania
22,TJ B,221|284,Virginia
23,Florida Beaches,244,Florida
24,Lexington Beta,50|223|263|269|310|321,Massachusetts
25,Tin Man,217|289|293|298|307,
26,Pirates A,259|290,
27,Scarecrow,256|297,
28,PATiger2022,1202|313,
29,Central Maryland United,212|318|320,
30,BCA 1,315,
