team_id,team_name,student_ids,state
1,Big L Club,2291|2166|2009|2322|2316,New Jersey
2,CRH Math Team,1053|949|2323|138,California
3,CRLS Omega,1134|2335|2300,Massachusetts
4,CSW A,2304|2332,
5,Edison Academy Magnet School,958|2318|2319|2292|2333,New Jersey
6,Garnet Valley Math Team,2312|2246|2330,Pennsylvania
7,Hotchkiss Blue,119|1652|2285|2339,Connecticut
8,Individuals Team 152,1685|2320|2330,New York
9,Individuals Team 153,1419|2310|2321,
10,Individuals Team 154,2334|1666,Texas
11,Jericho High School A,2267|1685|2239|978|2337,New York
12,Just Woo It,2308|2299|2317|2305,
13,Knights Beta,2309|2263|382,New York
14,MHSProfessionalJobbers,1123|445|2307|2171|2326|127,New Jersey
15,Millburn Mathematical Madpeople,3|2338|2Big L Club326|2253,New Jersey
16,PRISMS Young Falcons,2138|2319|2300,New Jersey
17,Pingry Team A,2257|407|2315|2324|1621|1623,New Jersey
18,Ridge Mu Alpha Theta,1942,
19,Sierra Canyon School,96|1874|2313|2314|2186|2191|2288,California
20,Team :blobcosy:,2311|2301|2327,California
21,Ward Melville Math Team,548|184|2339,New York
22,Warriors,1793|1646|2010|2329|1707,California
