Country Name,Country Code,Contestant,P1,P2,P3,P4,P5,P6,Total,Award,Rank
People's Republic of China,CHN,Liu Che,7,7,1,7,7,7,36,Gold medal,1
People's Republic of China,CHN,Zhang Hengye,7,7,7,7,7,1,36,Gold medal,2
People's Republic of China,CHN,Zhai Yunfeng,7,7,2,7,7,1,31,Gold medal,3
Israel,ISR,Dvora Raz,7,0,7,7,7,1,29,Gold medal,4
People's Republic of China,CHN,Zhang Yumeng,7,7,0,7,7,1,29,Gold medal,5
Romania,ROU,Mazare Emanuel,7,7,1,7,5,1,28,Gold medal,6
Bulgaria,BGR,Stefanov Andrey,7,7,1,5,7,0,27,Gold medal,7
Hungary,HUN,Varga Boldizsár,7,7,2,3,7,1,27,Gold medal,8
Romania,ROU,Ciurea Pavel,7,7,1,3,7,1,26,Silver medal,9
United States of America,USA,Yevtushenko Feodor,7,4,1,7,6,1,26,Silver medal,10
United States of America,USA,Tripathy Aprameya,7,3,0,7,7,1,25,Silver medal,11
People's Republic of China,CHN,Zhang Bohan,7,3,0,7,7,1,25,Silver medal,12
Israel,ISR,Budnik Yotam,7,7,2,7,0,1,24,Silver medal,13
Hungary,HUN,Czanik Pál,7,7,0,2,7,1,24,Silver medal,14
France,FRA,Dürrüoglu Pierre Akin,7,7,1,7,0,1,23,Silver medal,15
United States of America,USA,Zhao Michael,7,0,1,7,7,1,23,Silver medal,16
Hungary,HUN,Bodor Mátyás,7,3,0,7,6,0,23,Silver medal,17
Serbia,SRB,Despotović Novak,7,7,1,7,0,0,22,Silver medal,18
United States of America,USA,Wang Oron,7,0,0,7,7,1,22,Silver medal,19
Hungary,HUN,Szakács Ábel,7,7,1,4,3,0,22,Silver medal,20
Ukraine,UKR,Horbunov Oleksandr,7,0,0,7,7,0,21,Silver medal,21
United States of America,USA,Lin Andrew,7,7,0,7,0,0,21,Silver medal,22
Israel,ISR,Doron Ariel,7,0,0,5,7,1,20,Bronze medal,23
People's Republic of China,CHN,Xu Weijie,7,0,0,7,5,1,20,Bronze medal,24
Italy,ITA,Stologan Marcel,7,2,0,4,7,0,20,Bronze medal,25
United States of America,USA,Bodke Rohan,7,0,1,7,4,0,19,Bronze medal,26
Romania B,ROU B,Mărghidan David-Vlad,7,7,1,3,1,0,19,Bronze medal,27
Romania,ROU,Mitroi Aida,7,0,0,4,7,0,18,Bronze medal,28
Romania B,ROU B,Dragoș Victor-Vasile,7,1,0,3,7,0,18,Bronze medal,29
Ukraine,UKR,Pryhunov Volodymyr,7,1,0,3,7,0,18,Bronze medal,30
France,FRA,Lei David,7,2,0,1,7,1,18,Bronze medal,31
Estonia,TBT,Krutsko Kiryl,7,6,0,5,0,0,18,Bronze medal,32
Serbia,SRB,Šebez Stefan,7,0,0,3,7,0,17,Bronze medal,33
United Kingdom,UNK,Chong Hanks,7,1,0,7,1,1,17,Bronze medal,34
Bulgaria,BGR,Markovich Vesselin,7,6,1,1,1,1,17,Bronze medal,35
France,FRA,Pivron-Djeddi Solal,5,7,1,4,0,0,17,Bronze medal,36
Ukraine,UKR,Gribuks Daniil,7,2,0,7,0,0,16,Bronze medal,37
Serbia,SRB,Šušić Nina,7,0,0,2,7,0,16,Bronze medal,38
Moldova,MDA,Cerlat Marius,1,7,0,7,0,1,16,Bronze medal,39
Moldova,MDA,Popescu Alin,7,1,0,7,0,1,16,Bronze medal,40
Lithuania,TND,Zhang Ruiming,7,1,0,7,1,0,16,Bronze medal,41
Bulgaria,BGR,Pendov Aleksandar,6,0,0,2,7,1,16,Bronze medal,42
Israel,ISR,Blumentzvaig Shahar,4,3,0,6,3,0,16,Bronze medal,43
Romania,ROU,Vila Andrei,7,0,0,1,7,0,15,Honourable mention,44
Israel,ISR,Tamari Nadav Dan,7,0,1,6,1,0,15,Honourable mention,45
Bulgaria,BGR,Hristov Angel,3,1,0,4,7,0,15,Honourable mention,46
Romania,ROU,Ghibu David,1,3,0,3,7,0,14,Honourable mention,47
Italy,ITA,Degli Atti Lorenzo,7,0,0,5,0,1,13,Honourable mention,48
Romania B,ROU B,Viespescu Carina-Maria,7,1,0,5,0,0,13,Honourable mention,49
United Kingdom,UNK,Xu Teri,7,1,0,5,0,0,13,Honourable mention,50
United Kingdom,UNK,Guan Zijie,7,2,0,4,0,0,13,Honourable mention,51
France,FRA,Li Ruirong,7,0,0,5,0,0,12,Honourable mention,52
Bulgaria,BGR,Bangachev Aleksandar,4,0,0,1,7,0,12,Honourable mention,53
Romania,ROU,Suna Andrei,7,1,0,4,0,0,12,Honourable mention,54
Romania B,ROU B,Ciobotea Alexandru,1,2,0,2,7,0,12,Honourable mention,55
Romania (Tudor Vianu College),VIANU,Rebengiuc Mircea,5,0,1,5,0,1,12,,56
Israel,ISR,Ilani Netta,7,0,0,3,1,0,11,Honourable mention,57
Romania B,ROU B,Stoleriu Radu-Ionuț,7,1,0,3,0,0,11,Honourable mention,58
Ukraine,UKR,Hordiichuk Oles,7,1,2,1,0,0,11,Honourable mention,59
Lithuania,TND,Nielsen Andreas Arnfred,3,0,0,7,0,0,10,Honourable mention,60
Romania B,ROU B,Mironov Cezar-Luca,0,1,0,1,7,1,10,Honourable mention,61
United Kingdom,UNK,Griffiths Samuel,0,6,0,4,0,0,10,,62
Lithuania,TND,Li Zhongyi,7,0,0,2,0,0,9,Honourable mention,63
Ukraine,UKR,Semyrenskyi Stepan,7,1,0,1,0,0,9,Honourable mention,64
Ukraine,UKR,Shvaiko Daniil,7,1,0,1,0,0,9,Honourable mention,65
Estonia,TBT,Tidrikis Armands,7,0,0,1,1,0,9,Honourable mention,66
Romania (Tudor Vianu College),VIANU,Stupariu Teodor,6,1,0,2,0,0,9,,67
United Kingdom,UNK,Goyal Adavya,7,0,0,1,0,0,8,Honourable mention,68
Estonia,TBT,Shatil Bronislav,7,0,0,1,0,0,8,Honourable mention,69
Lithuania,TND,Virág Lénárd Dániel,7,0,0,1,0,0,8,Honourable mention,70
Italy,ITA,Tomasi Michele,2,0,0,4,1,0,7,,71
Estonia,TBT,Toomet Kaarel,1,0,1,4,0,1,7,,72
United Kingdom,UNK,Lam Kelvin,0,1,0,5,0,0,6,,73
Serbia,SRB,Stojiljković Petar,5,0,0,0,0,1,6,,74
Italy,ITA,Van Der Zijde Loek,5,0,0,1,0,0,6,,75
France,FRA,Dang An Pha,2,0,0,3,1,0,6,,76
France,FRA,Choné Lancelot,1,2,0,1,0,0,4,,77
Lithuania,TND,Jia Justin,1,0,0,1,2,0,4,,78
Lithuania,TND,Mi Jiachen,2,0,0,0,1,0,3,,79
Romania (Tudor Vianu College),VIANU,Vladoiu Ioana,0,2,0,0,1,0,3,,80
Romania (Tudor Vianu College),VIANU,Grecu Tudor,2,0,0,0,0,0,2,,81
Bulgaria,BGR,Vassilev Ilia,0,0,1,0,1,0,2,,82
Moldova,MDA,Șestacov Laura,1,0,0,1,0,0,2,,83
Romania (Tudor Vianu College),VIANU,Ioniță Iulian,0,0,0,1,0,0,1,,84
Moldova,MDA,Barbuța Robert,0,0,0,0,0,0,0,,85
