team_id,team_name,student_ids,smt_student_ids,school,state
001,10 Penguins,13|1029|7075,001F|001A|001C,,
003,AHS Water Bears,1809|5703|6164|6206,003B|003F|003C|003E,,
004,All Aces Spade,2908|6809|7065|7077,004C|004D|004E|004B,,
005,Allen's Apostles,3824,005C,,
006,AMSE1,2657|5256,006C|006A,,
010,Aragon Math 1,1872|2444,010D|010E,,
012,Arcadia High School,1224|6232,012C|012B,,
013,Areteem Blue,911|396|2501|7054|7059,013F|013B|013A|013E|013C,,
016,Beckman Giraffes,6924,016D,,
017,BIF Blue,4466|5756,017F|017E,,
018,BIF Green,1812|1813|5719,018D|018F|018A,,
019,Bishop's Cucumbers,7055|7078,019E|019B,,
020,Bishop's Kumquats,1042|2505|7072,020E|020A|020D,,
021,BISV Bobcats A,341|1726|1826|2433|4170,021A|021D|021B|021E|021C,,California
022,BISV Bobcats B,1717|5717,022C|022B,,California
023,Bruin Olympians,1058,023B,,
024,California High School,1895|3407|3768,024E|024D|024F,,
027,CCA Conspiracy,28|338|377|992|7073,027D|027C|027E|027A|027B,,
030,Cougars,1716|1900|5901,030D|030C|030E,,
031,Cupertino Black,365|372|397|2504|6025,031D|031C|031A|031B|031E,,
032,Cupertino Red,1471,032D,,
033,Davidson Academy,729|1637|2472|6548,033D|033C|033E|033A,,Nevada
034,Davis Senior High School Mu Alpha Theta,3591,034D,,
038,DF Dragon,6042,038B,,
041,DVHS Wildkitties 1,1943|4625|6137,041D|041B|041A,,
045,Euler Circle,5593,045B,,
047,Folsom High,1002,047B,,
050,GHC MATHLETES,7056,050E,,
053,Harker Omega,19|238|327|991|1286,053F|053E|053D|053C|053A,,California
054,Harker Zeta,1822|1825|1866|1938|2165,054B|054C|054D|054F|054A,,California
055,Homestead Mustangs,1064|1968|4275,055C|055F|055A,,California
056,Icy Fire,5886,056D,,
057,Infinitely Dimensional,2969|5870,057C|057B,,
058,Instant Noodles,2418|3674,058B|058F,,
059,Leigh Longhorns,3681|7058|7074,059C|059A|059D,,
062,Logarithm Bait,6064,062F,,
063,Los Altos Eagles,1396|3633|6119,063D|063C|063E,,California
065,Lynbrook Fireboy,665|931|1019|1342|6053,065D|065C|065B|065E|065F,,California
066,Lynbrook Watergirl,906|1051|1734|1798|6790|7066,066E|066C|066F|066A|066B|066D,,California
069,Menlo Math Blue,7079,069E,,
071,MHHS-2026-Team-Hydrogen,5811,071C,,
074,Monta Vista Team A,211|1973|2717|6038|6041|6197,074B|074F|074C|074A|074E|074D,,California
075,Monta Vista Team B,1817|4001|5623|5835,075C|075B|075F|075D,,California
076,Monta Vista Team C,5857|7080,076D|076C,,California
077,Mountain View Smartans,3844,077F,,California
078,Mountain View Spartans,1359|4099,078A|078F,,California
080,MSJ Gladiators,6106|6188|7060,080C|080E|080D,,California
081,MSJ Samurai,385|853|995|1846|2787,081A|081B|081F|081E|081C,,California
082,MSJ Spartans,2510,082F,,California
084,Ngnu Ammunition,1795|1858|1916|2143|2198,084B|084C|084E|084D|084A,,
085,Ngnu Ballistics,378|6156,085A|085D,,
086,NoHo Math Club,2651|3479,086E|086D,,
088,OHS Pixels,734|6780,088E|088A,,California
089,OHS -- Stanford Math CIrcle team,3170|7071,089D|089C,,California
092,Paly Trolls A,880|1011|2409|4178|6049,092A|092B|092C|092E|092D,,California
093,Paly Trolls B,6048|6150,093F|093E,,California
095,Peakwest,6215,095E,,
096,PHHS,5657|7051|7052,096B|096C|096F,,
098,Pratt is a Bratt,5049|6169,098A|098C,,
099,Proof Hedgehogs,1763|1807|1874|2358,099C|099A|099D|099B,,
100,Proof Narwhals,2352|5813|5922,100D|100C|100B,,
101,Riptide,5828,101F,,
102,RSM Bay Area team 1,1745|7053,102D|102C,,
103,Sage Hill Lightning,1024|1076|6017|6032,103D|103B|103A|103C,,
104,Santa Clara High School Math Club,5951|7061,104D|104A,,
105,Saratoga 1,38|319|483|1740|7062,105A|105E|105D|105C|105F,,California
106,Saratoga 2,4189|6905,106C|106F,,California
108,SFHS Dreamers,3061|7069,108B|108F,,
109,Sierra Canyon School,2186,109F,,California
110,Six Lions,2580|2611|2666,110C|110E|110A,,
113,SMT Individuals Emerald,835,113C,,
115,SMT Individuals Opal,69,115B,,
117,SMT Individuals Ruby,210|914,117B|117A,,
118,SMT Individuals Sapphire,798|2244,118D|118C,,
119,SMT Individuals Topaz,7063,119A,,
122,Sticks and Bricks,852|1113|1281|1340|7067,122F|122B|122E|122C|122A,,
123,Team A,358|1018|4058|6019,123B|123F|123E|123D,,
125,Team Eratosthenes,2988|6085,125A|125C,,
126,Team Hatsune Miku: Carlmont Stage!,1854|4192,126A|126E,,
128,The Irrationals,1474|2644|2777|7070,128A|128D|128C|128F,,
130,Tuzzlers,6899,130A,,
131,University High School ALPHA,2633|5293|7018|7076,131B|131F|131E|131A,,
132,University High School BETA,4315|4593,132B|132C,,
133,WAMO A,373|383|824|3703|4169|7068,133E|133D|133F|133A|133C|133B,,California
134,WAMO B,863|905,134F|134D,,California
135,Washington Gold,24|43|270|1010|1446|6277,135F|135A|135E|135C|135B|135D,,Washington
136,We Lost the Game,1046|2637|4163|6805|7057,136E|136F|136A|136B|136C,,
137,Westudy Fly,7064,137C,,
139,Wilcox Anacondas,3148|6186,139D|139B,,California
140,Wilcox Boas,4286|5814|5927,140B|140A|140C,,California
141,Yellow Curry and Rice,4250,141E,,
