folder_name,contest_name,year,website
amo,USAMO,2022,
amo,USAMO,2023,
amo,USAMO,2024,https://maa.org/wp-content/uploads/2024/11/2024-USAMO-Awardees-FINAL.pdf
amo,USAMO,2025,https://maa.org/wp-content/uploads/2026/02/2025-USAMO-Awards-Winner-List.pdf
arml,ARML,2022,https://docs.google.com/spreadsheets/d/1RvdE4RcA99uXvlaRl4J_Y11Qo6A7Hf4-fBPtSJQUjAU/edit?usp=sharing
arml,ARML,2024,https://docs.google.com/document/d/1AE4ZQnF34jSIfIjzbCoTqJVg3rVCJefA44Us9Wt8OPs/edit?pli=1#heading=h.tzi8w4gu2tvz
arml,ARML,2025,https://docs.google.com/document/d/17KQYnstIYxyz2r1KoyYIbkl-2Ex62jd1x-Cy-z8BcG8/edit?usp=sharing
cmimc,CMIMC,2023,https://cmimc.math.cmu.edu/math/past-results/2023
cmimc,CMIMC,2024,https://cmimc.math.cmu.edu/math/past-results/2024
cmimc,CMIMC,2025,https://cmimc.math.cmu.edu/math/past-results/2025
cmimc-algebra,CMIMC - Algebra and Number Theory,2023,https://cmimc.math.cmu.edu/math/past-results/2023
cmimc-algebra,CMIMC - Algebra and Number Theory,2024,https://cmimc.math.cmu.edu/math/past-results/2024
cmimc-algebra,CMIMC - Algebra and Number Theory,2025,https://cmimc.math.cmu.edu/math/past-results/2025
cmimc-comb,CMIMC - Combinatorics and Computer Science,2023,https://cmimc.math.cmu.edu/math/past-results/2023
cmimc-comb,CMIMC - Combinatorics and Computer Science,2024,https://cmimc.math.cmu.edu/math/past-results/2024
cmimc-comb,CMIMC - Combinatorics and Computer Science,2025,https://cmimc.math.cmu.edu/math/past-results/2025
cmimc-geometry,CMIMC - Geometry,2023,https://cmimc.math.cmu.edu/math/past-results/2023
cmimc-geometry,CMIMC - Geometry,2024,https://cmimc.math.cmu.edu/math/past-results/2024
cmimc-geometry,CMIMC - Geometry,2025,https://cmimc.math.cmu.edu/math/past-results/2025
cmm,CMM,2024,https://www.caltechmathmeet.org/results
cmm,CMM,2025,https://www.caltechmathmeet.org/results
dmm,DMM,2023,https://math.duke.edu/duke-math-meet
dmm,DMM,2025,https://dukemathmeet.org/archive/2025
hmmt-feb,HMMT February,2022,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/feb/results/long.htm
hmmt-feb,HMMT February,2023,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/feb/results/long.htm
hmmt-feb,HMMT February,2024,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/feb/results/long.htm
hmmt-feb,HMMT February,2025,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/feb/results/long.htm
hmmt-feb,HMMT February,2026,https://hmmt-archive.s3.amazonaws.com/tournaments/2026/feb/results/long.htm
hmmt-feb-algebra-number-theory,HMMT February — Algebra & Number Theory,2022,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/feb/results/long.htm
hmmt-feb-algebra-number-theory,HMMT February — Algebra & Number Theory,2023,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/feb/results/long.htm
hmmt-feb-algebra-number-theory,HMMT February — Algebra & Number Theory,2024,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/feb/results/long.htm
hmmt-feb-algebra-number-theory,HMMT February — Algebra & Number Theory,2025,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/feb/results/long.htm
hmmt-feb-algebra-number-theory,HMMT February — Algebra & Number Theory,2026,https://hmmt-archive.s3.amazonaws.com/tournaments/2026/feb/results/long.htm
hmmt-feb-combo,HMMT February — Combinatorics,2022,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/feb/results/long.htm
hmmt-feb-combo,HMMT February — Combinatorics,2023,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/feb/results/long.htm
hmmt-feb-combo,HMMT February — Combinatorics,2024,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/feb/results/long.htm
hmmt-feb-combo,HMMT February — Combinatorics,2025,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/feb/results/long.htm
hmmt-feb-combo,HMMT February — Combinatorics,2026,https://hmmt-archive.s3.amazonaws.com/tournaments/2026/feb/results/long.htm
hmmt-feb-geometry,HMMT February — Geometry,2022,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/feb/results/long.htm
hmmt-feb-geometry,HMMT February — Geometry,2023,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/feb/results/long.htm
hmmt-feb-geometry,HMMT February — Geometry,2024,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/feb/results/long.htm
hmmt-feb-geometry,HMMT February — Geometry,2025,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/feb/results/long.htm
hmmt-feb-geometry,HMMT February — Geometry,2026,https://hmmt-archive.s3.amazonaws.com/tournaments/2026/feb/results/long.htm
hmmt-nov,HMMT November,2025,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/nov/results/long.htm
hmmt-nov-general,HMMT November — General,2025,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/nov/results/long.htm
hmmt-nov-theme,HMMT November — Theme,2025,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/nov/results/long.htm
imo,IMO,2022,https://www.imo-official.org/
imo,IMO,2023,https://www.imo-official.org/
imo,IMO,2024,https://www.imo-official.org/
imo,IMO,2025,https://www.imo-official.org/
jmo,USAJMO,2022,
jmo,USAJMO,2023,
jmo,USAJMO,2024,https://maa.org/wp-content/uploads/2024/11/2024-USAJMO-Awardees-updated.pdf
jmo,USAJMO,2025,https://maa.org/wp-content/uploads/2026/02/2025-USAJMO-Awards-Winner-List.pdf
mathcounts-national-rank,MATHCOUNTS National — Rankings,2021,https://cspeef.org/wp-content/uploads/2021/06/MATHCOUNTSNationalResultsOnly2021.pdf
mathcounts-national-rank,MATHCOUNTS National — Rankings,2022,https://www.mathcounts.org/sites/default/files/00%202022%20Final%20Standings%20Document.pdf
mathcounts-national-rank,MATHCOUNTS National — Rankings,2023,https://www.mathcounts.org/sites/default/files/2023%20Final%20Standings%20Document.pdf
mathcounts-national-rank,MATHCOUNTS National — Rankings,2024,https://www.mathcounts.org/sites/default/files/2024%20Final%20Standings%20Document.pdf
mathcounts-national-rank,MATHCOUNTS National — Rankings,2025,https://www.mathcounts.org/sites/default/files/2025-05/2025_FinalStandings.pdf
mmaths,MMATHS,2024,https://docs.google.com/spreadsheets/d/19t3LunNmcwPzdsPoqAApAfNUl_zrxXZbFi-ssOtoI10/edit?gid=899786555#gid=899786555
mmaths,MMATHS,2025,https://docs.google.com/spreadsheets/d/1Py8P10NqymD2UeMGAApMTsYC5PsQX5BdwvGJZJqCVQk/edit?gid=899786555#gid=899786555
